"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"zx_Temple_of_Terror","DELETE","zx_Temple_of_Terror_1987_Adventuresoft_UK_a2","zx_Temple_of_Terror_1987_Adventuresoft_UK","Deleted",""
"zx_Temple_of_Terror","DELETE","zx_Temple_of_Terror_1987_Adventuresoft_UK_a3","zx_Temple_of_Terror_1987_Adventuresoft_UK","Deleted",""
"zx_Jungle_Trouble_1983","DELETE","zx_Jungle_Trouble_1983_Durell_Software_a_16K","zx_Jungle_Trouble_1983_Durell_Software_16K","Deleted",""
"zx_Jungle_Trouble_1983","DELETE","zx_Jungle_Trouble_1983_Durell_Software_a2_16K","zx_Jungle_Trouble_1983_Durell_Software_16K","Deleted",""
"zx_Manchester_United_Europe","DELETE","zx_Manchester_United_Europe_1991_Krisalis_Software_M5_a_128K","zx_Manchester_United_Europe_1991_Krisalis_Software_M5_128K","Deleted",""
"zx_Addams_Family_The","DELETE","zx_Addams_Family_The_1991_Ocean_a_128K","zx_Addams_Family_The_1991_Ocean_128K","Deleted",""
"zx_Addams_Family_The","DELETE","zx_Addams_Family_The_1991_Ocean_a2_128K","zx_Addams_Family_The_1991_Ocean_128K","Deleted",""
"zx_T.L.L._Tornado_Low","DELETE","zx_T.L.L._Tornado_Low_Level_1984_Vortex_Software_a","zx_T.L.L._Tornado_Low_Level_1984_Vortex_Software","Deleted",""
"zx_T.L.L._Tornado_Low","DELETE","zx_T.L.L._Tornado_Low_Level_1984_Vortex_Software_a2","zx_T.L.L._Tornado_Low_Level_1984_Vortex_Software","Deleted",""
"Clean_Up_Service_1987","DELETE","Clean_Up_Service_1987_Players_Software_t_2_cr_The_Sir","Clean_Up_Service_1987_Players_Software_h_Triad","Deleted",""
"zx_ACE_2088_The","DELETE","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games_128K","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games","Deleted",""
"zx_ACE_2088_The","DELETE","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games_a","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games","Deleted",""
"zx_ACE_2088_The","DELETE","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games_a2","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games","Deleted",""
"zx_ACE_2088_The","DELETE","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games_a3","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games","Deleted",""
"zx_ACE_2088_The","DELETE","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games_a4","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games","Deleted",""
"zx_ACE_2088_The","DELETE","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games_a5","zx_ACE_2088_The_Space_Flight_Combat_Simulation_1988_Cascade_Games","Deleted",""
"zx_Rad_Ramp_Racer","DELETE","zx_Rad_Ramp_Racer_1990_Mastertronic_Plus_a","zx_Rad_Ramp_Racer_1990_Mastertronic_Plus","Deleted",""
"zx_Robin_of_the","DELETE","zx_Robin_of_the_Wood_1985_Odin_Computer_Graphics_128K","zx_Robin_of_the_Wood_1985_Odin_Computer_Graphics","Deleted",""
"zx_Robin_of_the","DELETE","zx_Robin_of_the_Wood_1985_Odin_Computer_Graphics_a_128K","zx_Robin_of_the_Wood_1985_Odin_Computer_Graphics","Deleted",""
"zx_Robin_of_the","DELETE","zx_Robin_of_the_Wood_1985_Odin_Computer_Graphics_kempston","zx_Robin_of_the_Wood_1985_Odin_Computer_Graphics","Deleted",""
"zx_Cobra_Force_1989","DELETE","zx_Cobra_Force_1989_Players_Premier_Software_a","zx_Cobra_Force_1989_Players_Premier_Software","Deleted",""
