"Action","FolderName","FromPath","ToPath","Year","Status"
"MOVE","a2_Choplifter_1982_Broderbund","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_Choplifter_1982_Broderbund","..\thumbnails-deduped\1982\a2_Choplifter_1982_Broderbund","1982","Success"
"MOVE","a2_Sky_Travel_1988_Deltron","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_Sky_Travel_1988_Deltron","..\thumbnails-deduped\1988\a2_Sky_Travel_1988_Deltron","1988","Success"
"MOVE","a2_Trader_Disk_No._254_1985_08_15_Game_Designers_Workshop","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_Trader_Disk_No._254_1985_08_15_Game_Designers_Workshop","..\thumbnails-deduped\1985\a2_Trader_Disk_No._254_1985_08_15_Game_Designers_Workshop","1985","Success"
"MOVE","a2_Zaxxon_1983_Datasoft","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_Zaxxon_1983_Datasoft","..\thumbnails-deduped\1983\a2_Zaxxon_1983_Datasoft","1983","Success"
"MOVE","a8b_007_The_Living_Daylights_1987_Domark_GB","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_007_The_Living_Daylights_1987_Domark_GB","..\thumbnails-deduped\1987\a8b_007_The_Living_Daylights_1987_Domark_GB","1987","Success"
"MOVE","a8b_180_1986_Mastertronic_GB_cr_Mr._Bacardi_a_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_180_1986_Mastertronic_GB_cr_Mr._Bacardi_a_k_file","..\thumbnails-deduped\1986\a8b_180_1986_Mastertronic_GB_cr_Mr._Bacardi_a_k_file","1986","Success"
"MOVE","a8b_221B_Baker_Street_Case_Library_1_1987_Datasoft_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_221B_Baker_Street_Case_Library_1_1987_Datasoft_US","..\thumbnails-deduped\1987\a8b_221B_Baker_Street_Case_Library_1_1987_Datasoft_US","1987","Success"
"MOVE","a8b_Ace_of_Aces_1987_Accolade_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Ace_of_Aces_1987_Accolade_US","..\thumbnails-deduped\1987\a8b_Ace_of_Aces_1987_Accolade_US","1987","Success"
"MOVE","a8b_Action_Biker_1985_Mastertronic_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Action_Biker_1985_Mastertronic_US","..\thumbnails-deduped\1985\a8b_Action_Biker_1985_Mastertronic_US","1985","Success"
"MOVE","a8b_Adventure_No._01_Adventureland_v3.9_416_1981_Adventure_International_US_k_file.a","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._01_Adventureland_v3.9_416_1981_Adventure_International_US_k_file.a","..\thumbnails-deduped\1981\a8b_Adventure_No._01_Adventureland_v3.9_416_1981_Adventure_International_US_k_file.a","1981","Success"
"MOVE","a8b_Adventure_No._02_Pirate_Adventure_v3.9_408_1981_Adventure_International_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._02_Pirate_Adventure_v3.9_408_1981_Adventure_International_US","..\thumbnails-deduped\1981\a8b_Adventure_No._02_Pirate_Adventure_v3.9_408_1981_Adventure_International_US","1981","Success"
"MOVE","a8b_Adventure_No._03_Mission_Impossible_v3.9_306_1981_Adventure_International_US_k_f","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._03_Mission_Impossible_v3.9_306_1981_Adventure_International_US_k_f","..\thumbnails-deduped\1981\a8b_Adventure_No._03_Mission_Impossible_v3.9_306_1981_Adventure_International_US_k_f","1981","Success"
"MOVE","a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US","..\thumbnails-deduped\1981\a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US","1981","Success"
"MOVE","a8b_Adventure_No._05_The_Count_v3.9_115_1981_Adventure_International_US_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._05_The_Count_v3.9_115_1981_Adventure_International_US_k_file","..\thumbnails-deduped\1981\a8b_Adventure_No._05_The_Count_v3.9_115_1981_Adventure_International_US_k_file","1981","Success"
"MOVE","a8b_Adventure_No._06_Strange_Odyssey_v3.9_119_1981_Adventure_International_US_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._06_Strange_Odyssey_v3.9_119_1981_Adventure_International_US_k_file","..\thumbnails-deduped\1981\a8b_Adventure_No._06_Strange_Odyssey_v3.9_119_1981_Adventure_International_US_k_file","1981","Success"
"MOVE","a8b_Adventure_No._07_Mystery_Fun_House_v3.9_145_1981_Adventure_International_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._07_Mystery_Fun_House_v3.9_145_1981_Adventure_International_US","..\thumbnails-deduped\1981\a8b_Adventure_No._07_Mystery_Fun_House_v3.9_145_1981_Adventure_International_US","1981","Success"
"MOVE","a8b_Adventure_No._08_Pyramid_of_Doom_v3.9_124_1981_Adventure_International_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._08_Pyramid_of_Doom_v3.9_124_1981_Adventure_International_US","..\thumbnails-deduped\1981\a8b_Adventure_No._08_Pyramid_of_Doom_v3.9_124_1981_Adventure_International_US","1981","Success"
"MOVE","a8b_Adventure_No._09_Ghost_Town_v3.9_123_1981_Adventure_International_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._09_Ghost_Town_v3.9_123_1981_Adventure_International_US","..\thumbnails-deduped\1981\a8b_Adventure_No._09_Ghost_Town_v3.9_123_1981_Adventure_International_US","1981","Success"
"MOVE","a8b_Adventure_No._10_Savage_Island_Part_I_v3.9_123_1981_Adventure_International_US.a","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._10_Savage_Island_Part_I_v3.9_123_1981_Adventure_International_US.a","..\thumbnails-deduped\1981\a8b_Adventure_No._10_Savage_Island_Part_I_v3.9_123_1981_Adventure_International_US.a","1981","Success"
